covid_phenotype,clinical_code,terminology,description,covid_status,source
01_Covid_positive_test,,,pillar_2,confirmed,SGSS
01_Covid_positive_test,,,pillar_1,confirmed,SGSS
01_GP_covid_diagnosis,1008541000000105,SNOMED,Coronavirus ribonucleic acid detection assay (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1029481000000103,SNOMED,Coronavirus nucleic acid detection assay (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,120814005,SNOMED,Coronavirus antibody (substance),confirmed,GDPPR
01_GP_covid_diagnosis,1240381000000105,SNOMED,Severe acute respiratory syndrome coronavirus 2 (organism),confirmed,GDPPR
01_GP_covid_diagnosis,1240391000000107,SNOMED,Antigen of severe acute respiratory syndrome coronavirus 2 (substance),confirmed,GDPPR
01_GP_covid_diagnosis,1240401000000105,SNOMED,Antibody to severe acute respiratory syndrome coronavirus 2 (substance),confirmed,GDPPR
01_GP_covid_diagnosis,1240411000000107,SNOMED,Ribonucleic acid of severe acute respiratory syndrome coronavirus 2 (substance),confirmed,GDPPR
01_GP_covid_diagnosis,1240421000000101,SNOMED,Serotype severe acute respiratory syndrome coronavirus 2 (qualifier value),confirmed,GDPPR
01_GP_covid_diagnosis,1240511000000106,SNOMED,Detection of severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction technique (procedure),confirmed,GDPPR
01_GP_covid_diagnosis,1240521000000100,SNOMED,Otitis media caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1240531000000103,SNOMED,Myocarditis caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1240541000000107,SNOMED,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1240551000000105,SNOMED,Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1240561000000108,SNOMED,Encephalopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1240571000000101,SNOMED,Gastroenteritis caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1240581000000104,SNOMED,Severe acute respiratory syndrome coronavirus 2 ribonucleic acid detected (finding),confirmed,GDPPR
01_GP_covid_diagnosis,1240741000000103,SNOMED,Severe acute respiratory syndrome coronavirus 2 serology (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1240751000000100,SNOMED,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1300631000000101,SNOMED,Coronavirus disease 19 severity score (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1300671000000104,SNOMED,Coronavirus disease 19 severity scale (assessment scale),confirmed,GDPPR
01_GP_covid_diagnosis,1300681000000102,SNOMED,Assessment using coronavirus disease 19 severity scale (procedure),confirmed,GDPPR
01_GP_covid_diagnosis,1300721000000109,SNOMED,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed by laboratory test (situation),confirmed,GDPPR
01_GP_covid_diagnosis,1300731000000106,SNOMED,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed using clinical diagnostic criteria (situation),confirmed,GDPPR
01_GP_covid_diagnosis,1321181000000108,SNOMED,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 record extraction simple reference set (foundation metadata concept),confirmed,GDPPR
01_GP_covid_diagnosis,1321191000000105,SNOMED,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 procedures simple reference set (foundation metadata concept),confirmed,GDPPR
01_GP_covid_diagnosis,1321201000000107,SNOMED,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 health issues simple reference set (foundation metadata concept),confirmed,GDPPR
01_GP_covid_diagnosis,1321241000000105,SNOMED,Cardiomyopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder),confirmed,GDPPR
01_GP_covid_diagnosis,1321301000000101,SNOMED,Severe acute respiratory syndrome coronavirus 2 ribonucleic acid qualitative existence in specimen (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321311000000104,SNOMED,Severe acute respiratory syndrome coronavirus 2 immunoglobulin M qualitative existence in specimen (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321321000000105,SNOMED,Severe acute respiratory syndrome coronavirus 2 immunoglobulin G qualitative existence in specimen (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321331000000107,SNOMED,Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 total immunoglobulin in serum (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321341000000103,SNOMED,Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 immunoglobulin G in serum (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321351000000100,SNOMED,Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 immunoglobulin M in serum (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321541000000108,SNOMED,Severe acute respiratory syndrome coronavirus 2 immunoglobulin G detected (finding),confirmed,GDPPR
01_GP_covid_diagnosis,1321551000000106,SNOMED,Severe acute respiratory syndrome coronavirus 2 immunoglobulin M detected (finding),confirmed,GDPPR
01_GP_covid_diagnosis,1321761000000103,SNOMED,Severe acute respiratory syndrome coronavirus 2 immunoglobulin A detected (finding),confirmed,GDPPR
01_GP_covid_diagnosis,1321801000000108,SNOMED,Arbitrary concentration of severe acute respiratory syndrome coronavirus 2 immunoglobulin A in serum (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1321811000000105,SNOMED,Severe acute respiratory syndrome coronavirus 2 immunoglobulin A qualitative existence in specimen (observable entity),confirmed,GDPPR
01_GP_covid_diagnosis,1322781000000102,SNOMED,Severe acute respiratory syndrome coronavirus 2 antigen detection result positive (finding),confirmed,GDPPR
01_GP_covid_diagnosis,1322871000000109,SNOMED,Severe acute respiratory syndrome coronavirus 2 antibody detection result positive (finding),confirmed,GDPPR
01_GP_covid_diagnosis,186747009,SNOMED,Coronavirus infection (disorder),confirmed,GDPPR
02_Covid_admission,,,HospitalAdmissionDate IS NOT null,confirmed,CHESS
02_Covid_admission,U07.1,ICD10,Confirmed_COVID19,confirmed,HES APC
02_Covid_admission,U07.2,ICD10,Suspected_COVID19,suspected,HES APC
02_Covid_admission,U07.1,ICD10,Confirmed_COVID19,confirmed,SUS
02_Covid_admission,U07.2,ICD10,Suspected_COVID19,suspected,SUS
03_ECMO_treatment,,,RespiratorySupportECMO == Yes,confirmed,CHESS
03_ECMO_treatment,X58.1,OPCS,Extracorporeal membrane oxygenation,confirmed,HES APC
03_ECMO_treatment,X58.1,OPCS,Extracorporeal membrane oxygenation,confirmed,SUS
03_ICU_admission,,,DateAdmittedICU IS NOT null,confirmed,CHESS
03_ICU_admission,,,id is in hes_cc table,confirmed,HES CC
03_IMV_treatment,,,Invasivemechanicalventilation == Yes,confirmed,CHESS
03_IMV_treatment,E85.1,OPCS,Invasive ventilation,confirmed,HES APC
03_IMV_treatment,X56,OPCS,Intubation of trachea,confirmed,HES APC
03_IMV_treatment,,,ARESSUPDAYS > 0,confirmed,HES CC
03_IMV_treatment,E85.1,OPCS,Invasive ventilation,confirmed,SUS
03_IMV_treatment,X56,OPCS,Intubation of trachea,confirmed,SUS
03_NIV_treatment,,,Highflownasaloxygen OR NoninvasiveMechanicalventilation == Yes,confirmed,CHESS
03_NIV_treatment,E85.2,OPCS,Non-invasive ventilation NEC,confirmed,HES APC
03_NIV_treatment,E85.6,OPCS,Continuous positive airway pressure,confirmed,HES APC
03_NIV_treatment,,,bressupdays > 0,confirmed,HES CC
03_NIV_treatment,E85.2,OPCS,Non-invasive ventilation NEC,confirmed,SUS
03_NIV_treatment,E85.6,OPCS,Continuous positive airway pressure,confirmed,SUS
04_Covid_inpatient_death,,,DISMETH = 4 (Died),suspected,HES APC
04_Covid_inpatient_death,,,DISDEST = 79 (Not applicable - PATIENT died or still birth),confirmed,HES APC
04_Covid_inpatient_death,,,DISMETH = 4 (Died),confirmed,HES APC
04_Covid_inpatient_death,,,DISDEST = 79 (Not applicable - PATIENT died or still birth),suspected,HES APC
04_Covid_inpatient_death,,,DISCHARGE_DESTINATION_HOSPITAL_PROVIDER_SPELL = 79 (Not applicable - PATIENT died or still birth),confirmed,SUS
04_Covid_inpatient_death,,,DISCHARGE_METHOD_HOSPITAL_PROVIDER_SPELL = 4 (Died),suspected,SUS
04_Covid_inpatient_death,,,DISCHARGE_DESTINATION_HOSPITAL_PROVIDER_SPELL = 79 (Not applicable - PATIENT died or still birth),suspected,SUS
04_Covid_inpatient_death,,,DISCHARGE_METHOD_HOSPITAL_PROVIDER_SPELL = 4 (Died),confirmed,SUS
04_Fatal_with_covid_diagnosis,U071,ICD10,,confirmed,deaths
04_Fatal_with_covid_diagnosis,U072,ICD10,,suspected,deaths
04_Fatal_without_covid_diagnosis,,,ONS death within 28 days,suspected,deaths
